	Borough	Postcode
1731	Manhattan	10018
1732	Manhattan	10018
1733	Manhattan	10075
1734	Queens	11355
1735	Manhattan	10009
1736	Queens	11377
1737	Queens	11372
1738	Manhattan	10036
1739	Manhattan	10019
1740	Queens	11103
1741	Manhattan	10014
1742	Brooklyn	11231
1743	Brooklyn	11201
1744	Manhattan	10022
1745	Queens	11106
1746	Manhattan	10021
1747	Manhattan	10030
1748	Brooklyn	11215
1749	Queens	11103
1750	Queens	11377
1751	Manhattan	10016
1752	Manhattan	11003
1753	Queens	11106
1754	Manhattan	10016
1755	Queens	11372
1756	Brooklyn	11238
1757	Bronx	10465
1758	Brooklyn	11217
1759	Bronx	10451
1760	Manhattan	10002
1761	Manhattan	10022
1762	Manhattan	10011
1763	Staten Island	10309
1764	Brooklyn	11211
1765	Manhattan	10036
1766	Staten Island	10304
1767	Manhattan	10128
1768	Brooklyn	11235
1769	Bronx	10458
1770	Brooklyn	11222
1771	Manhattan	10038
1772	Manhattan	10019
1773	Manhattan	10003
1774	Brooklyn	11201
1775	Queens	11385
1776	Manhattan	10065
1777	Brooklyn	11238
1778	Manhattan	10016
1779	Manhattan	10009
1780	Manhattan	10003
1781	Queens	11357
1782	Manhattan	10025
1783	Manhattan	10031
1784	Manhattan	10002
1785	Brooklyn	11235
1786	Manhattan	10003
1787	Brooklyn	11222
1788	Manhattan	10002
1789	Bronx	10460
1790	Manhattan	10038
1791	Queens	11101
1792	Manhattan	10029
1793	Bronx	10452
1794	Manhattan	10002
1795	Manhattan	10003
1796	Queens	11101
1797	Brooklyn	11201
1798	Brooklyn	11201
1799	Brooklyn	11249
1800	Manhattan	10002
1801	Queens	11385
1802	Manhattan	10005
1803	Manhattan	10028
1804	Queens	11378
1805	Queens	11372
1806	Manhattan	10002
1807	Manhattan	10002
1808	Brooklyn	11211
1809	Manhattan	10013
1810	Manhattan	10031
1811	Brooklyn	11205
1812	Brooklyn	11220
1813	Manhattan	10026
1814	Manhattan	10028
1815	Brooklyn	11211
1816	Queens	11354
1817	Queens	11357
1818	Brooklyn	11222
1819	Brooklyn	11226
1820	Brooklyn	11213
1821	Manhattan	10012
1822	Manhattan	10036
1823	Manhattan	10012
1824	Queens	11103
1825	Bronx	10468
1826	Brooklyn	11216
1827	Brooklyn	11231
1828	Manhattan	10011
1829	Manhattan	10003
1830	Brooklyn	11209
1831	Manhattan	10013
1832	Manhattan	10009
1833	Brooklyn	11223
1834	Bronx	10458
1835	Manhattan	10028
1836	Manhattan	10011
1837	Manhattan	10023
1838	Manhattan	10009
1839	Brooklyn	11201
1840	Manhattan	10023
1841	Manhattan	10001
1842	Brooklyn	11222
1843	Queens	11372
1844	Brooklyn	11208
1845	Brooklyn	11237
1846	Manhattan	10009
1847	Queens	11106
1848	Manhattan	10019
1849	Brooklyn	11211
1850	Manhattan	10022
1851	Manhattan	10024
1852	Brooklyn	11238
1853	Brooklyn	11222
1854	Manhattan	10010
1855	Queens	11103
1856	Brooklyn	11210
1857	Bronx	10454
1858	Manhattan	10011
1859	Manhattan	10002
1860	Manhattan	10036
1861	Manhattan	10013
1862	Brooklyn	11226
1863	Queens	11378
1864	Bronx	10468
1865	Bronx	10462
1866	Manhattan	10014
1867	Manhattan	10025
1868	Manhattan	10032
1869	Queens	11101
1870	Brooklyn	11216
1871	Brooklyn	11232
1872	Manhattan	10002
1873	Queens	11361
1874	Queens	11105
1875	Manhattan	10013
1876	Queens	11101
1877	Manhattan	10024
1878	Manhattan	10003
1879	Manhattan	10040
1880	Manhattan	10017
1881	Manhattan	10016
1882	Brooklyn	11218
1883	Manhattan	10022
1884	Brooklyn	11237
1885	Manhattan	10027
1886	Brooklyn	11231
1887	Queens	11103
1888	Bronx	10472
1889	Manhattan	10036
1890	Brooklyn	11222
1891	Brooklyn	11217
1892	Manhattan	10025
1893	Brooklyn	11231
1894	Queens	11355
1895	Manhattan	10019
1896	Brooklyn	11219
1897	Brooklyn	11222
1898	Manhattan	10004
1899	Brooklyn	11215
1900	Manhattan	10017
1901	Brooklyn	11217
1902	Queens	11361
1903	Brooklyn	11201
1904	Queens	11105
1905	Manhattan	10011
1906	Brooklyn	11211
1907	Brooklyn	11216
1908	Brooklyn	11206
1909	Brooklyn	11211
1910	Queens	11354
1911	Manhattan	10009
1912	Brooklyn	11234
1913	Staten Island	10314
1914	Brooklyn	11231
1915	Manhattan	10019
1916	Brooklyn	11211
1917	Manhattan	10013
1918	Manhattan	11378
1919	Manhattan	10021
1920	Manhattan	10003
1921	Queens	11355
1922	Manhattan	10021
1923	Manhattan	10009
1924	Bronx	10462
1925	Queens	11372
1926	Manhattan	10019
1927	Brooklyn	11228
1928	Brooklyn	11249
1929	Manhattan	10011
1930	Manhattan	10003
1931	Manhattan	10009
1932	Manhattan	10013
1933	Manhattan	11106
1934	Brooklyn	11237
1935	Manhattan	10002
1936	Manhattan	10014
1937	Manhattan	10169
1938	Manhattan	10029
1939	Queens	11105
1940	Brooklyn	11215
1941	Bronx	10469
1942	Manhattan	10022
1943	Manhattan	10019
1944	Queens	11385
1945	Brooklyn	11238
1946	Brooklyn	11222
1947	Manhattan	10034
1948	Brooklyn	11218
1949	Manhattan	10022
1950	Manhattan	10007
1951	Brooklyn	11208
