	Facility #	Facility Name	Facility Name Overflow	Facility Street	Owner Name 	Owner Name Overflow	Business Type	Original Issuance Date	Last Renewal Date	Expiration Date
129	3010364	LARRYS FOREIGN AUTO 	SERVICE INC         	30 CORNING ST       	STEVE WOLD          	                    	RS 	09/27/1983	08/02/2017	08/31/2019
130	7110928	LAWTONS AUTOMOTIVE  	AND TIRE CENTER     	90 WATERVLIET AVENUE	LAWTONS DEVELOPMENT 	LLC                 	RS 	09/07/2010	08/18/2020	08/31/2022
131	7089318	LAWTONS AUTOMOTIVE &	TIRE CENTER         	118-122 WEST ST     	LAWTONS DEVELOPMENT 	LLC                 	RS 	02/23/2001	01/04/2019	01/31/2021
132	7011367	LEROY HOLDING CO INC	                    	26 MAIN ST          	WILLIAM H BROWN     	                    	RS 	12/07/1983	10/08/2019	11/30/2021
133	3010043	LEXINGTON AUTO SERV 	                    	75 LEXINGTON AVE    	FRANK DIROLF        	                    	RS 	05/23/1980	05/09/2014	05/31/2016
134	3010619	LIA HONDA           	                    	1258 CENTRAL AV     	DELMAR AUTO PLAZA   	LTD                 	RS 	08/07/1980	02/27/2020	04/30/2022
135	7086497	LIA HYUNDAI         	                    	945 CENTRAL AVE     	DELMAR AUTO PLAZA   	LTD                 	RS 	02/02/2000	11/12/2019	01/31/2022
136	7009528	LITTLE MOTORS       	                    	363 CENTRAL AVE     	ALICE A BAKER INC   	                    	RS 	01/25/1989	06/17/2013	07/31/2015
137	7120726	LITTLE MOTORS       	                    	363 CENTRAL AVE     	PEREZ AUTO GROUP LLC	                    	RS 	11/16/2018	02/28/2020	02/28/2022
138	7071864	LOMBARDOS AUTOMOTIVE	CENTER              	7 NEW SCOTLAND AV   	ANTHONY LOMBARDO    	                    	RS 	09/07/1995	07/30/2019	08/31/2021
139	7032042	MAACO AUTO PAINTING 	& BODYWORKS         	491 CENTRAL AVE     	MICHAEL C RYAN      	                    	RSB	10/22/1985	08/20/2019	09/30/2021
140	7054184	MARK FLYNNS GARAGE  	                    	589 CENTRAL AVE     	MARK FLYNN          	                    	RS 	02/21/1991	12/06/2018	01/31/2021
141	7125563	MASERATI AND ALFA   	ROMEO OF ALBANY     	1586 CENTRAL AVE    	DEPAULA CHEVROLET   	                    	RS 	05/09/2019		04/30/2021
142	7107267	MAVIS DISCOUNT TIRE 	                    	935 CENTRAL AVENUE  	MAVIS TIRE SUPPLY   	LLC                 	RS 	12/05/2008	11/21/2018	11/30/2020
143	7107266	MAVIS DISCOUNT TIRE 	                    	204-210 CENTRAL AVE 	MAVIS TIRE SUPPLY   	LLC                 	RS 	12/05/2008	11/21/2018	11/30/2020
144	7118528	MCCARTHY TIRE SERVIC	CO OF NEW YORK INC  	980 BROADWAY AVENUE 	JOHN D MCCARTHY JR  	                    	RS 	10/09/2014	08/20/2020	09/30/2022
145	7109233	MD MOTORCAR         	                    	551 CENTRAL AVENUE  	VDELL INC           	                    	RS 	07/10/2013	10/28/2015	10/31/2017
146	7106620	MEINEKE CAR CARE    	CENTER              	1021 CENTRAL AVENUE 	ROSSINI & SONS INC  	                    	RS 	07/29/2008	05/04/2020	06/30/2022
147	7039825	MICHAEL J VANGALEN  	BODY SHOP           	116 WEST ST         	MICHAEL J VANGALEN  	                    	RSB	07/07/1987	06/28/2013	06/30/2015
148	7084399	MIDAS AUTO SERVICE  	EXPERTS             	967 CENTRAL AVE     	724 CENTRAL AVE AUTO	CENTERS LTD         	RS 	04/08/1999	03/15/2019	03/31/2021
149	7100830	MIG AUTO REPAIR &   	SALES LLC           	629 THIRD STREET    	GRIGORIY MIKNELSON  	                    	RS 	12/08/2005	10/30/2013	11/30/2015
150	7111611	MIG AUTO SALES INC  	                    	667 CENTRAL AVENUE  	GRIGORIY MIKHELSON  	                    	RS 	06/18/2015	12/20/2018	12/31/2020
151	7086809	MILLERS CORNERS     	GARAGE              	170 MADISON AVE     	CAROL A MCKAY       	                    	RS 	03/09/2000	02/11/2020	02/28/2022
152	7121304	MIMI AUTO SALES     	                    	170 CATHERINE ST    	WANDIS FERNELIS MATA	MERCADO             	RS 	05/07/2019		07/31/2020
153	7113037	MOBILITYWORKS       	                    	1615 CENTRAL AVENUE 	WMK INC             	                    	RS 	10/21/2011	08/19/2015	09/30/2017
154	7121036	MOBILITYWORKS       	                    	1892 CENTRAL AVE S25	WMK LLC             	                    	RS 	05/27/2016	03/17/2020	04/30/2022
155	7062261	MONRO MUFFLER BRAKE 	                    	980 CENTRAL AVE     	MONRO INC           	                    	RS 	04/09/1993	03/29/2019	03/31/2021
156	3010591	MONRO MUFFLER BRAKE 	                    	1745 WESTERN AV     	MONRO INC           	                    	RS 	08/13/1980	01/31/2020	01/31/2022
157	7120126	MR TIRE             	                    	1394 CENTRAL AVENUE 	MONRO INC           	                    	RS 	10/19/2015	09/27/2019	09/30/2021
158	7095063	NIGHT OWL ROAD      	SERVICE             	116 WATER ST        	JULIO J MELENDEZ    	                    	RS 	06/19/2003	06/05/2017	05/31/2019
159	7127188	NORTHEAST WRECKER   	SALES INC           	9 NORMAN DR         	PATRICH HICKOK      	                    	RS 	08/04/2020		07/31/2022
160	7115903	NYS DEC             	                    	625 BROADWAY 11TH FL	NYS DEC             	                    	RS 	05/08/2013	02/22/2019	04/30/2021
161	7122746	NYSDMV CLEAN AIR 2  	                    	6 ESP RM 220        	DIVISION OF CLEAN   	AIR                 	RS 	08/25/2017	08/15/2019	07/31/2021
162	3010157	ORANGE MOTOR CO INC 	                    	799 CENTRAL AV      	CARL E TOUHEY       	                    	RS 	04/28/1980	03/15/2016	05/31/2018
163	3010492	OTTO CADILLAC INC   	                    	1769 CENTRAL AVENUE 	CHRISTOPHER OTTO    	                    	RS 	05/05/1980	04/27/2020	05/31/2022
164	7109185	PAINTWORX COLLISION 	CENTER              	1175 CENTRAL AVENUE 	DAVID J STUMPF      	                    	RSB	10/26/2009	08/16/2019	09/30/2021
165	7105880	PAK AUTOMOTIVE      	SALES&SERVICE CENTER	236 SOUTH SWAN ST   	SAJID I BHATTI      	                    	RS 	04/29/2008	02/27/2014	03/31/2016
166	3010122	PA RUTH AUTOMOTIVE  	SALES&SERV INC      	261 NEW KARNER RD   	PAUL A RUTH         	                    	RS 	05/30/1980	04/07/2020	05/31/2022
167	3010758	PAULS GARAGE INC    	                    	230 ONTARIO ST      	PAUL H BICKEL       	                    	RS 	09/17/1980	07/30/2020	08/31/2022
168	7083286	PENSKE TRUCK LEASING	CO LP               	11 WAREHOUSE ROW    	PENSKE TRUCK LEASING	CO LP ETAL          	RS 	11/23/1998	08/11/2020	10/31/2022
169	7074426	PEP BOYS            	PEP BOYS AUTO       	1008 CENTRAL AV     	PEP BOYS MANNY MOE &	JACK OF DELAWARE INC	RS 	05/03/1996	04/29/2020	04/30/2022
